row_type,name,kind,status,value,numerator,denominator,unit,notes,detected,result
ablation,omit_evidence,ablation,MEASURED,0.95,,,fraction,Drop in reconstructability when the listed provenance class is omitted.,,0.050000000000000044
ablation,omit_proofs,ablation,MEASURED,0.75,,,fraction,Drop in reconstructability when the listed provenance class is omitted.,,0.25
ablation,omit_human_provenance,ablation,MEASURED,0.85,,,fraction,Drop in reconstructability when the listed provenance class is omitted.,,0.15000000000000002
access,reviewer_read,access_control,PASS,1.0,200,200,http_status,/transactions/{transaction_id},,reviewer
access,investigator_verify,access_control,PASS,1.0,200,200,http_status,/transactions/{transaction_id}/verify,,investigator
access,admin_content,access_control,PASS,1.0,200,200,http_status,/content/{digest},,admin
access,denied_unauthenticated,access_control,PASS,1.0,401,401,http_status,/transactions,,unauthenticated
access,reviewer_denied_export,access_control,PASS,1.0,403,403,http_status,/transactions/{transaction_id}/export,,reviewer
access,investigator_denied_output,access_control,PASS,1.0,403,403,http_status,/transactions/{transaction_id}/output,,investigator
access,investigator_denied_content,access_control,PASS,1.0,403,403,http_status,/content/{digest},,investigator
access,reviewer_output,access_control,PASS,1.0,200,200,http_status,/transactions/{transaction_id}/output,,reviewer
access,investigator_export,access_control,PASS,1.0,200,200,http_status,/transactions/{transaction_id}/export,,investigator
access,missing_transaction,access_control,PASS,1.0,404,404,http_status,/transactions/missing-transaction-id,,admin
access,global_scope_list,access_control,PASS,1.0,200,200,http_status,/transactions,,admin
case,clean,clean_verification,,,,,,,False,
case,mutate,tamper,,,,,,,True,
case,delete,tamper,,,,,,,True,
case,reorder,tamper,,,,,,,True,
case,broken_reference,tamper,,,,,,,True,
case,bad_merkle,tamper,,,,,,,True,
case,bad_signature,tamper,,,,,,,True,
case,missing_event,tamper,,,,,,,True,
case,missing_input,tamper,,,,,,,True,
case,missing_transformation,tamper,,,,,,,True,
case,missing_evidence,tamper,,,,,,,True,
case,missing_tool,tamper,,,,,,,True,
case,missing_guardrail,tamper,,,,,,,True,
case,changed_timestamp,tamper,,,,,,,True,
case,reviewer_action,tamper,,,,,,,True,
case,wrong_corpus,tamper,,,,,,,True,
case,wrong_content_ref,tamper,,,,,,,True,
case,wrong_corpus_rehashed,tamper,,,,,,,True,
case,wrong_content_ref_rehashed,tamper,,,,,,,True,
case,proof_substitution,tamper,,,,,,,True,
case,replay_stub,replay,,,,,,,False,EXACT_MATCH
